courseID,course,number,title,credits,prerequisite
1001,ENGL,203,Fundamentals of Contemporary Speech,3,1044/1045&1046/1047
1002,FREN,101,Fundamentals of French I,3,X
1003,FREN,102,Fundamentals of French II,3,1002
1004,SPAN,101,Fundamentals of Spanish I,3,X
1005,SPAN,102,Fundamentals of Spanish II,3,1005
1006,CHIN,101,Fundamentals of Chinese I,3,X
1007,CHIN,102,Fundamentals of Chinese II,3,1007
1008,ARAB,101,Fundamentals of Arabic I,3,X
1009,ARAB,102,Fundamentals of Arabic II,3,1008
1010,JAPN,101,Fundamentals of Japanese I,3,X
1011,JAPN,102,Fundamentals of Japanese II,3,1010
1012,ECON,201,Principles of Economics(Macro),3,MATH>=102
1013,ECON,201H,Principles of Economics(Macro) Honors,3,MATH>=102
1014,ECON,202,Principles of Economics(Micro),3,MATH>=102
1015,ECON,202H,Principles of Economics(Micro) Honors,3,MATH>=102
1016,GEOG,101,The World Geography I,3,X
1017,GEOG,102,The World Geography II,3,X
1018,HIST,101,History of World Civilization I,3,X
1019,HIST,102,History of World Civilization II,3,X
1020,HIST,111H,History of World Civilization I Honors,3,X
1021,HIST,112H,History of World Civilization II Honors,3,X
1022,POLI,200,Introduction of American Government,3,X
1023,POLI,200H,Introduction of American Government Honors,3,X
1024,POLI,342,Urban Politics,3,X
1025,SOCI,101,Introduction to Sociology,3,X
1026,SOCI,111H,Introduction to Sociology Honors,3,X
1027,CRJS,101,Introduction to Criminal Justice,3,X
1028,HUEC,203,Human Development: A Lifespan Perspective,3,X
1029,HUEC,220,Perspectives on Aging,3,X
1030,HUEC,361,Contemporary Family Issues,3,1025&1031
1031,PSYC,101,Introduction to Psychology,3,X
1032,SOCI,201,Social Problems,3,X
1033,SOWK,200,Social Work,3,X
1034,SOCI,200H,Social Problems Honors,3,X
1035,BIOL,111,Principles of Biology I,3,~1036
1036,BIOL,113,Principles of Biology I Laboratory,1,~1035
1037,BIOL,112,Principles of Biology II,3,~1038
1038,BIOL,114,Principles of Biology II Laboratory,1,~1037
1039,CHEM,111,Principles of Chemistry I,3,~1040
1040,CHEM,113,Principles of Chemistry I Laboratory,1,~1039
1041,CHEM,112,Principles of Chemistry II,3,~1042
1042,CHEM,114,Principles of Chemistry II Laboratory,1,~1041
1043,MATH,112,Calculus I,4,1099/1098
1044,ENGL,101,Basic Composition I,3,X
1045,ENGL,101H,Basic Composition I(Honors),3,X
1046,ENGL,102,Basic Composition II,3,1044/1045
1047,ENGL,102H,Basic Composition II,3,1044/1045
1048,ENGL,305/W,Technical Writing,3,1044/1045&1046/1047&1001& credit>=56
1049,ENGL,310/W,Advanced Composition,3,1044/1045&1046/1047
1050,CSDP,100,Computer Science Orientation,1,X
1051,EXSC,111,Personalized Health Fitness,3,X
1052,CSDP,221,Introduction to Computer Programming,4,1100/1098
1053,CSDP,222,Advabced Programming,4,1052
1054,CSDP,250,Data Structures,3,1053
1055,CSDP,301,Computer Organization & Assembly Language Programming,3,1053
1056,CSDP,305,Software Engineering I,3,1054
1057,CSDP,332,Internet Programming,3,1053
1058,CSDP,351,Computer Architecture,3,1055
1059,CSDP,390,Social& Ethical and Legal Isssues in Computer Science,3,credits>=56
1060,CSDP,398,Computer Language Topics A: Java,3,1053
1061,CSDP,399,Computer Langauge Topics B: UNIX,3,1053
1062,CSDP,401,Operating Systems,3,1056&1053
1063,CSDP,402,Computer Networks,3,1054
1064,CSDP,403,Computer Language Theory,3,1055&1079
1065,CSDP,404,Database Management Systems,3,1054
1066,CSDP,450,Algorithms and Data Structures,3,1054&1079
1067,CSDP,490,Senior Design Project,3,credits>=90
1068,CSDP,341,Numerical Analysis I,3,1054&1076
1069,CSDP,395,Internship,3,credits>=56
1070,CSDP,405,Software Engineering II,3,1056
1071,CSDP,431,Data Warehosuing and Data Mining,3,1053&1077
1072,CSDP,442,Numerical Analysis II,3,1068
1073,CSDP,498,Selected Topics in Computer Science A,3,X
1074,CSDP,499,Selected Topics in Computer Science B,3,X
1075,MATH,350,Linear Programming,3,1102
1076,MATH,211,Calculus II,4,1043
1077,MATH,232,Introduction to Linear Algebra,3,1043
1078,MATH,309,Introduction to Probability,3,1043
1079,MATH,323,Introduction to Discrete Structures,3,1053
1080,MATH,360,Statistics for Scientist,3,1078
1081,ACCT,201,Introductory Financial Accounting,3,1100&1044/1045&1046/1047
1082,ACCT,202,Introductory Corporate & Managerial Accounting/Hybrid,3,1081
1083,MKTG,308,Principles of Marketing,3,1082&1012/1013&1014/1015
1084,FINA,340,Financial Management,3,1082&1012/1013&1014/1015
1085,BUAD,302,Management and Organizational Behavior,3,1082&!1012/!1013&1014/1015&1031&1025/1026
1086,MKTG,312,Sales Management,3,1083
1087,MKTG,314,Retail Management,3,1083
1088,MKTG,315,E-Commerce,3,1083
1089,MKTG,401,Advertising Management,3,1083
1090,MKTG,404,Consumer Behavior and Theory,3,1083
1091,MKTG,410,Marketing Strategy and Policy,3,1083
1092,FINA,341,Investment and Security Analysis,3,1084
1093,FINA,440,Advanced Fiancial Management,3,1084
1094,FINA,441,Insurance and Business Risks,3,1084
1095,BUAD,242,The Legal Enviornment for Business,3,1085
1096,BUAD,303,Advanced Organizational Behavior,3,1085
1097,BUAD,420,International Business,3,1085
1098,MATH,110,Trigonometry and Analytic Geometry,3,1100
1099,MATH,111,Elementary - Mathematical Analysis,4,1098&1100
1100,MATH,109,College Algebra,3,1101
1101,MATH,101,Intermediate Algebra,3,X
1102,MATH,300,Foundation of Mathematics,3,1076
